Wavelength Global Direct Diffuse
1008 0.10830 0.47496 0.02582
1009 0.10749 0.47164 0.02559
1010 0.10816 0.47480 0.02571
1011 0.10800 0.47431 0.02564
1012 0.10873 0.47775 0.02577
1013 0.10876 0.47808 0.02574
1014 0.11006 0.48403 0.02601
1015 0.10847 0.47729 0.02559
1016 0.10943 0.48173 0.02578
1017 0.10829 0.47690 0.02547
1018 0.10981 0.48385 0.02579
1019 0.10720 0.47255 0.02514
1020 0.10668 0.47045 0.02498
1021 0.10755 0.47450 0.02515
1022 0.10581 0.46704 0.02471
1023 0.10763 0.47531 0.02509
1024 0.10717 0.47350 0.02495
1025 0.10722 0.47394 0.02493
1026 0.10767 0.47611 0.02499
1027 0.10742 0.47522 0.02490
1028 0.10803 0.47813 0.02500
1029 0.10682 0.47297 0.02468
1030 0.10839 0.48018 0.02501
1031 0.10839 0.48037 0.02497
1032 0.10850 0.48108 0.02496
1033 0.10681 0.47376 0.02454
1034 0.10818 0.48009 0.02482
1035 0.10726 0.47618 0.02457
1036 0.10882 0.48332 0.02489
1037 0.10653 0.47337 0.02433
1038 0.10772 0.47886 0.02457
1039 0.10825 0.48142 0.02465
1040 0.10693 0.47575 0.02432
1041 0.10758 0.47886 0.02443
1042 0.10792 0.48058 0.02447
1043 0.10604 0.47238 0.02401
1044 0.10715 0.47755 0.02423
1045 0.10664 0.47550 0.02408
1046 0.10359 0.46206 0.02335
1047 0.10550 0.47077 0.02375
1048 0.10664 0.47609 0.02397
1049 0.10604 0.47359 0.02380
1050 0.10537 0.47079 0.02362
1051 0.10532 0.47076 0.02357
1052 0.10496 0.46934 0.02346
1053 0.10488 0.46921 0.02341
1054 0.10372 0.46419 0.02311
1055 0.10459 0.46828 0.02327
1056 0.10396 0.46565 0.02310
1057 0.10351 0.46384 0.02297
1058 0.10236 0.45885 0.02268
1059 0.09917 0.44475 0.02194
1060 0.10270 0.46077 0.02269
1061 0.09921 0.44530 0.02189
1062 0.10200 0.45800 0.02247
1063 0.10017 0.44994 0.02204
1064 0.10121 0.45479 0.02223
1065 0.10092 0.45366 0.02214
1066 0.09736 0.43787 0.02133
1067 0.09898 0.44530 0.02165
1068 0.09803 0.44120 0.02141
1069 0.08994 0.40496 0.01962
1070 0.09439 0.42517 0.02056
1071 0.09375 0.42246 0.02039
1072 0.09351 0.42152 0.02031
1073 0.08992 0.40549 0.01950
1074 0.09298 0.41945 0.02014
1075 0.08989 0.40570 0.01944
1076 0.09134 0.41241 0.01973
1077 0.09057 0.40907 0.01954
1078 0.08995 0.40645 0.01938
1079 0.08509 0.38463 0.01830
1080 0.08693 0.39308 0.01867
1081 0.08316 0.37620 0.01784
1082 0.08319 0.37646 0.01782
1083 0.07961 0.36038 0.01703
1084 0.08104 0.36699 0.01731
1085 0.07917 0.35866 0.01689
1086 0.07994 0.36230 0.01703
1087 0.07501 0.34007 0.01595
1088 0.07949 0.36054 0.01688
1089 0.07643 0.34676 0.01621
1090 0.07690 0.34903 0.01629
1091 0.07531 0.34194 0.01593
1092 0.07137 0.32417 0.01508
1093 0.06834 0.31053 0.01442
1094 0.06036 0.27440 0.01272
1095 0.06399 0.29101 0.01346
1096 0.06164 0.28040 0.01295
1097 0.05679 0.25843 0.01191
1098 0.05153 0.23457 0.01080
1099 0.04789 0.21809 0.01002
1100 0.04584 0.20882 0.00958
1101 0.04446 0.20263 0.00928
1102 0.04295 0.19579 0.00895
1103 0.04455 0.20315 0.00927
1104 0.04315 0.19684 0.00896
1105 0.04148 0.18930 0.00861
1106 0.03976 0.18151 0.00824
1107 0.03896 0.17794 0.00806
1108 0.03900 0.17817 0.00806
1109 0.04008 0.18319 0.00827
